sample	locus	read_count	molecule_count
09R-replicate_S12_R1_001	DYNLT3	606	596
09R-replicate_S12_R1_001	EDN3	16	16
09R-replicate_S12_R1_001	EDNRB	55	54
09R-replicate_S12_R1_001	EFNA1	122	120
09R-replicate_S12_R1_001	ENPEP	4	4
09R-replicate_S12_R1_001	ERCC_00004	2129	2054
09R-replicate_S12_R1_001	ERCC_00108	219	218
09R-replicate_S12_R1_001	ERCC_00116	45	44
09R-replicate_S12_R1_001	ERCC_00136	386	384
09R-replicate_S12_R1_001	G0S2	175	174
09R-replicate_S12_R1_001	GADD45A	50	49
09R-replicate_S12_R1_001	GBP2	143	141
09R-replicate_S12_R1_001	GNLY	429	422
09R-replicate_S12_R1_001	GPX3	45	45
09R-replicate_S12_R1_001	HABP2	5	5
09R-replicate_S12_R1_001	HMBS	23	23
09R-replicate_S12_R1_001	ID4	423	422
09R-replicate_S12_R1_001	IDO1	181	180
09R-replicate_S12_R1_001	IGFBP1	1	1
09R-replicate_S12_R1_001	IL15	71	71
09R-replicate_S12_R1_001	LAMB3	24	24
09R-replicate_S12_R1_001	MAOA	177	176
09R-replicate_S12_R1_001	MAP3K5	40	39
09R-replicate_S12_R1_001	MMP7	11	11
09R-replicate_S12_R1_001	MT1G	4981	4746
09R-replicate_S12_R1_001	MT1H	314	313
09R-replicate_S12_R1_001	NDRG1	60	60
09R-replicate_S12_R1_001	NNMT	48	48
09R-replicate_S12_R1_001	OLFM1	16	16
09R-replicate_S12_R1_001	PAEP	105	105
09R-replicate_S12_R1_001	PRUNE2	23	23
09R-replicate_S12_R1_001	S100P	92	92
09R-replicate_S12_R1_001	SDHA	216	214
09R-replicate_S12_R1_001	SERPING1	217	216
09R-replicate_S12_R1_001	SFRP4	87	87
09R-replicate_S12_R1_001	SLC1A1	4	4
09R-replicate_S12_R1_001	SPP1	1747	1716
09R-replicate_S12_R1_001	TBP	59	59
09R-replicate_S12_R1_001	TCN1	15	15
09R-replicate_S12_R1_001	TSPAN8	11	11
09R-replicate_S12_R1_001	unmatched	1358	766
